from_lang,success,valid,codebleu,bleu,meteor,rouge1,rouge2,rougeL,rougeLsum,chrF,ter,wer
cpp,0.9954248366013072,0.6887721602101117,0.3536186187178828,0.231823615539569,0.4374371381086599,0.31298392115500157,0.15715804520149143,0.28052885752396567,0.310893261515055,38.52330081062079,226.97397139061556,2.563953100324661
rs,0.9967320261437909,0.6747540983606557,0.32041487753680714,0.2041624098317483,0.4092071979386554,0.29598369469827024,0.14140285607371786,0.2644185482912701,0.2945180264962402,37.00478376675069,211.34246636147915,2.399627536554019
c,0.9915032679738562,0.6776532630191167,0.3447119616221761,0.20971646826750354,0.4246444928781479,0.2964526302530482,0.1440136412660753,0.26457566277394057,0.2945442523943702,37.39335576688435,257.5878056315035,2.916531594426044
go,0.9928104575163399,0.662936142198815,0.3487908868643879,0.22083164779389586,0.43841669410366135,0.3118103211077662,0.15114136920181231,0.2785835307138375,0.3089377926051899,38.418672989992736,185.0393127760965,2.108792841270405
java,0.9954248366013072,0.5915955351280368,0.33543004520779346,0.20862392983292496,0.4110008774502631,0.3058708182810797,0.14096557699028803,0.27242238857621115,0.30295280920315787,35.91009957409802,186.30782772904138,2.05172098337659
py,0.9901960784313726,0.5551155115511551,0.3513721718353707,0.2226463195690084,0.4311318284790324,0.3172277906037135,0.14901535425059576,0.28148774686710465,0.3145568584364501,37.82189549003919,210.9891850259366,2.3157454749652238
js,0.996078431372549,0.5433070866141733,0.347294025080581,0.23321633847694284,0.43696251570085093,0.3192555850800355,0.1617712982151254,0.28588196895104984,0.31683483502355453,38.70547120046971,230.4944370487613,2.574980099574507
